title,number,page_id,namespace,size_bytes,last_change,item,total_views
Petroleum Authority of Uganda,123,43690057,(Article),9593,2025-04-08T11:33:39Z,Q18388006,916
Political office-holders in Uganda,109,37429845,Category,171,2018-01-02T13:04:57Z,Q8770409,NA
Posta Uganda,79,23488155,(Article),4567,2022-08-21T09:39:01Z,Q7233761,2287
PostBank Uganda,71,22228588,(Article),9952,2025-03-08T02:21:21Z,Q7233607,3938
President of Uganda,3,450146,(Article),6943,2025-07-18T15:59:33Z,Q18204367,101491
Presidential Commission of Uganda,8,1452367,(Article),6268,2025-07-17T14:55:31Z,Q623206,22601
Presidential elections in Uganda,140,48310900,Category,130,2018-02-09T11:44:34Z,Q21295175,NA
Presidential Guard Brigade (Uganda),241,74205269,(Article),3628,2025-03-13T19:20:44Z,Q120703780,1186
Presidents of Uganda,30,8575652,Category,276,2023-08-12T01:29:45Z,Q9084673,69
Pride Bank Limited,89,26351175,(Article),8304,2025-05-28T16:40:01Z,Q7242787,160
Prisons in Uganda,85,25220308,Category,219,2020-02-01T00:51:49Z,Q8793775,NA
Public Procurement and Disposal of Public Assets Authority,186,54993949,(Article),5320,2023-04-12T11:08:12Z,Q38251809,692
Queen of Uganda,110,38017852,(Article),6903,2025-07-20T01:09:17Z,Q6898106,9463
Regulation in Uganda,224,62507845,Category,68,2022-03-22T09:39:28Z,Q86801614,NA
Regulatory agencies of Uganda,189,55641750,Category,148,2025-06-21T13:03:13Z,Q49794656,NA
Richard Posnett,149,50387596,(Article),3368,2025-04-29T08:27:31Z,Q24004677,817
Schools for Schools,34,10295115,(Article),8933,2025-04-02T19:23:11Z,Q7432715,247
"Sexual Offences Bill, 2019",230,67686353,(Article),5462,2025-06-01T01:56:41Z,Q107056724,1288
Shaban Bantariza,68,22028858,(Article),8419,2022-12-20T13:09:48Z,Q7460015,711
Supreme Court of Uganda,48,19028094,(Article),8103,2025-04-01T07:19:39Z,Q2368307,7523
Supreme Court of Uganda,198,56076723,Category,197,2020-08-21T02:54:37Z,Q49810602,7523
Susan Lakot,214,59923471,(Article),4935,2025-03-23T17:15:41Z,Q61696432,232
Taxation in Uganda,141,48893002,Category,113,2017-10-28T09:53:54Z,Q24989611,0
Tito Okello,2,438051,(Article),8043,2025-02-20T07:19:44Z,Q376073,55806
Tooro Kingdom,9,1506178,(Article),9573,2025-07-10T01:28:30Z,Q889912,20848
Tooro Kingdom,243,76094076,Category,69,2024-02-14T11:40:40Z,Q8858333,20848
Treaties of Uganda,36,11612000,Category,449,2022-03-22T09:39:30Z,Q7306086,NA
Uganda AIDS Commission,118,42328721,(Article),26602,2025-04-28T22:38:09Z,Q16965297,487
Uganda Air Force,229,65028444,(Article),21900,2025-07-22T12:15:33Z,Q29043485,33097
Uganda Airlines,222,61555310,(Article),45927,2025-07-22T12:30:52Z,Q65086967,62237
Uganda and the Commonwealth of Nations,99,33695678,Category,119,2020-10-03T23:39:04Z,Q8854425,NA
Uganda and the United Nations,210,58822191,Category,93,2018-10-19T12:37:23Z,Q60627430,NA
Uganda Atomic Energy Council,143,49809925,(Article),6577,2025-07-22T12:34:57Z,Q24236412,716
Uganda Bureau of Statistics,105,36838578,(Article),5073,2025-07-22T12:37:38Z,Q2473854,18924
Uganda Civil Aviation Authority,59,20519286,(Article),14099,2025-07-22T12:41:51Z,Q5124427,2348
Uganda Coffee Development Authority,150,50685400,(Article),6321,2024-10-06T05:56:18Z,Q25067857,2620
Uganda Communications Commission,60,20570398,(Article),7389,2025-07-22T12:44:31Z,Q2473869,2180
Uganda Deposit Protection Fund,156,51297095,(Article),8536,2025-07-22T12:47:29Z,Q28446440,920
Uganda Development Bank Limited,66,21541564,(Article),13254,2025-07-22T12:48:13Z,Q7877590,1440
Uganda Development Corporation,92,28347077,(Article),14654,2024-10-06T05:54:22Z,Q7877591,1227
Uganda diplomacy-related lists,179,53974339,Category,151,2023-10-29T11:31:13Z,Q30807644,NA
