title,number,page_id,namespace,size_bytes,last_change,item,total_views
Mount Speke,102,8578329,(Article),3670,2022-07-02T15:39:43Z,Q838875,3498
Mount Stanley,9,643259,(Article),4809,2025-02-23T00:39:03Z,Q221666,27134
Mount Wati,516,38663340,(Article),3593,2024-11-30T17:29:28Z,Q6924519,407
Mount Zulia,105,8596448,(Article),2219,2024-07-29T21:18:02Z,Q6924814,364
Mountain ranges of Uganda,650,52680966,Category,136,2016-12-25T00:46:28Z,Q9180170,NA
Mountains of Uganda,23,1367879,Category,211,2016-12-24T20:52:15Z,Q6786332,NA
Moyo District,209,22795836,Category,97,2024-11-08T21:32:05Z,Q9864436,4114
Moyo Town,80,5540139,(Article),9735,2024-09-09T23:48:00Z,Q992016,1169
Mpanga,447,30857949,(Article),3690,2024-01-22T10:25:55Z,Q6928210,574
"Mparo, Hoima",676,54848879,(Article),7377,2025-06-16T10:34:27Z,Q1802286,347
"Mparo, Rukiga",674,54846923,(Article),7712,2022-11-09T13:10:18Z,Q38249616,612
Mpererwe,462,32083832,(Article),6578,2024-08-11T17:15:18Z,Q6928242,1971
Mpondwe school massacre,925,74053337,(Article),15333,2025-02-25T17:43:04Z,Q119616154,4378
Mubende,85,6278636,(Article),11745,2025-07-22T00:34:18Z,Q3528929,4531
Mubende District,200,22784151,Category,99,2024-11-08T21:06:47Z,Q8645510,3541
Mubuku,506,36534743,(Article),7832,2020-08-10T00:42:17Z,Q6930901,502
Mubuku Central Forest Reserve,890,73904151,(Article),4851,2023-08-23T20:43:20Z,Q118775165,108
Muduuma,645,51989640,(Article),3864,2024-10-18T14:21:10Z,Q28162740,476
Mugomba Central Forest Reserve,917,74035592,(Article),8900,2025-02-06T04:42:04Z,Q119507589,58
