qitem,label,statements,occupation_names,description
Q133829787,Daniel Babwetera,8,account executive,UBC TV Sales manager
Q134061523,Elizabeth Khaitsa Mabwa Gabona,8,educator,A Ugandan educationist and academician who was the Deputy Chairperson Education Service Commission
Q134269788,Elizabeth Mutamuliza,8,marketer,A Ugandan marketing manager at Uganda Breweries Limited
Q134081550,Elizabeth Namaganda,8,marketer,A Ugandan Marketer and social researcher
Q120892547,Esezah Kyomugisha Kakudidi,8,"zoologist, chemist, botanist","Zoologist, Botanist & Chemist"
Q136734651,Esther Kantono,8,painter,Ugandan Painter
Q134268816,Evelyn Nelima,8,lacrosse player,Lacrosse player
Q139807515,Faith Bugonzi,8,communications manager,Ugandan communications manager
Q134268943,Flavia Nalwanda,8,lacrosse player,Lacrosse player
Q138716675,Gillian Kasirye,8,docent,Ugandan school founder and curriculum specialist
Q134268262,Gloria Asasira,8,lacrosse player,Lacrosse player
Q133758815,Gorreti B. Bamwanga,8,mental health counselor,Ugandan counselor and author
Q131309349,Hellen Nabukenya,8,visual artist,visual artist and curator
Q134182922,Irene Kasuubo,8,"weightlifter, bodybuilder",Weight lifter
Q139801233,Irene Zikusooka,8,media personality,Ugandan media personality
Q136823017,Joan Mukasa Menya,8,marketing,sales and marketing professional
Q134269416,Joseline Nandutu,8,lacrosse player,Lacrosse player
Q131298229,Joy Malaika,8,belly dancer,belly dancer
Q134268650,Joyce Nakibule,8,lacrosse player,Lacrosse player
Q141223181,Kerry Nadia,8,singer-songwriter,female singer from Uganda
Q137357533,Lakwena Maciver,8,visual artist,visual artist known for using bold colors and geometric patterns
Q134268451,Lilian Hope Amoit,8,lacrosse player,Lacrosse player
Q139801379,Lilian Nakigozi,8,social entrepreneur,Ugandan social entrepreneur
Q136800482,Lillian Kansiime,8,marketing,marketing and communications specialist
Q134269202,Marion Nandala,8,lacrosse player,Lacrosse player
Q138548612,Maureen Agena,8,communications consultant,Ugandan technologist
Q134054656,Maureen Kahima,8,counselor,counselor
Q134269296,Mayi Nankabirwa,8,lacrosse player,Lacrosse player
Q77033116,Mela Katende,8,,Fictional Character
Q125911941,Mellisa Nayimuli,8,film,Ugandan film and TV producer
Q134268739,Miriam Ayenyo,8,lacrosse player,Lacrosse player
Q139995974,Namukwaya Winifred,8,administrator,
Q133865378,Pamella Lamunu Ocaya,8,registrar,Acting Chief Registrar of Uganda's courts
Q137988628,Pamera Anne Kirungi,8,member of parliament,Woman Member of Parliament
Q134269053,Patience Amulen,8,lacrosse player,Lacrosse player
Q139658938,Patricia Nakagulire,8,purchasing manager,Administrator
Q133865423,Prossy Katushabe,8,registrar,A judicial officer at High Court
