qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q544320,Kitgum,"Kitgum, Uganda",15,1120,97.6,human settlement,2,country_wd|keyword_title
Q492275,Port Bell,Port Bell,14,1311,97.6,human settlement,1,country_wd
Q3315580,Minority Rights Group International,Minority Rights Group International,12,1929,97.6,"nonprofit organization, advocacy group",1,country_wd
Q7058261,Northern Congolian forest-savanna mosaic,Northern Congolian forest–savanna mosaic,12,1993,97.6,WWF ecoregion,1,country_wd
Q3197533,Kiswahili,Kiswahili,10,3414,97.6,"dialect, language, standard language",1,country_wd
Q7022514,ngoma,Ngoma drums,10,3089,97.6,,2,country_wd|keyword_title
Q7877583,"Uganda Anti-Homosexuality Act, 2014","Anti-Homosexuality Act, 2014",9,4443,97.6,act of parliament,3,country_wd|keyword_title|part_of_wd
Q16204177,Dominic Ongwen,Dominic Ongwen,8,13123,97.6,human,2,birth_death_wd|citizenship_wd
Q42914066,Uganda at the 2020 Summer Olympics,Uganda at the 2020 Summer Olympics,21,589,97.5,Olympic delegation,2,country_wd|keyword_title
Q487953,Lake Kwania,Lake Kwania,16,801,97.5,lake,1,country_wd
Q142745,Uganda at the 2004 Summer Olympics,Uganda at the 2004 Summer Olympics,15,1017,97.5,Olympic delegation,2,country_wd|keyword_title
Q2587755,East African Plateau,East African Plateau,12,1684,97.5,mountain range,1,country_wd
Q2202407,Catholic Church in Uganda,Catholic Church in Uganda,11,2006,97.5,Catholic Church of an area,2,country_wd|keyword_title
Q7877613,Uganda Museum,Uganda Museum,11,2038,97.5,museum,2,country_wd|keyword_title
Q6672465,Sipi Falls,Sipi Falls,10,2611,97.5,waterfall,1,country_wd
Q7824218,Tooro,Tooro language,10,2756,97.5,"language, modern language",1,country_wd
Q7877695,Ugandan passport,Ugandan passport,10,2806,97.5,,2,country_wd|keyword_title
Q215347,Gottfried Lessing,Gottfried Lessing,8,6971,97.5,human,1,birth_death_wd
Q4273151,Inspector-general of police,Inspector-general of police,8,7834,97.5,"position, Wikimedia list article",1,country_wd
Q56401973,Musa Baluku,Musa Baluku,8,7315,97.5,human,2,birth_death_wd|citizenship_wd
Q5866990,history of Uganda,Second Republic of Uganda,7,23425,97.5,aspect of history,2,country_wd|keyword_title
Q140650,Uganda at the 2012 Summer Olympics,Uganda at the 2012 Summer Olympics,22,458,97.4,Olympic delegation,2,country_wd|keyword_title
Q42571276,Gita Ramjee,Gita Ramjee,19,584,97.4,human,1,birth_death_wd
Q6477049,Lake Mutanda,Lake Mutanda,16,719,97.4,lake,1,country_wd
Q2034078,Achwa,Achwa River,15,823,97.4,"river, watercourse",1,country_wd
Q2318123,Luweero,Luweero,12,1522,97.4,human settlement,1,country_wd
Q492316,Uganda Securities Exchange,Uganda Securities Exchange,11,1812,97.4,"stock exchange, business",2,country_wd|keyword_title
Q119616154,Mpondwe school massacre,Mpondwe school massacre,10,2266,97.4,"terrorist attack, school massacre",2,country_wd|keyword_title
Q4465957,tourism in Uganda,Tourism in Uganda,10,2165,97.4,tourism in a region,2,country_wd|keyword_title
Q1625351,Holy Spirit Movement,Holy Spirit Movement,8,6329,97.4,"religious organization, armed organization",1,country_wd
Q105587935,War in Uganda (1986–1994),War in Uganda (1986–1994),7,15949,97.4,civil war,2,country_wd|keyword_title
Q85770139,Islamic State – Central Africa Province,Islamic State – Central Africa Province,7,18048,97.4,"terrorist organization, armed organization",1,country_wd
Q1390765,1st parallel south,1st parallel south,20,461,97.3,circle of latitude,1,country_wd
Q492993,Leo Rwabwogo,Leo Rwabwogo,17,533,97.3,human,2,birth_death_wd|citizenship_wd
Q1186530,32nd meridian east,32nd meridian east,15,747,97.3,meridian,1,country_wd
Q3082639,Frank Habineza,Frank Habineza,10,1837,97.3,human,1,birth_death_wd
Q1711861,Uganda Railways Corporation,Uganda Railways Corporation,9,2477,97.3,"railway company, national railway",2,country_wd|keyword_title
Q2997511,Cornelius Boza Edwards,Cornelius Boza-Edwards,8,4710,97.3,human,2,birth_death_wd|citizenship_wd
Q258576,Sylvia Jebiwott Kibet,Sylvia Jebiwot Kibet,26,306,97.2,human,1,birth_death_wd
Q19969360,Uganda at the 2016 Summer Olympics,Uganda at the 2016 Summer Olympics,23,330,97.2,Olympic delegation,2,country_wd|keyword_title
Q19898617,Susie Tharu,Susie Tharu,10,1497,97.2,human,1,birth_death_wd
Q1456536,human rights in Uganda,Human rights in Uganda,9,2204,97.2,human rights by country or territory,2,country_wd|keyword_title
Q523823,Lendu,Lendu language,9,2130,97.2,"language, modern language",1,country_wd
Q1668903,2006 Ugandan general election,2006 Ugandan general election,8,3867,97.2,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q22704264,Arif Virani,Arif Virani,8,4110,97.2,human,1,birth_death_wd
Q25226975,East African Crude Oil Pipeline,East African Crude Oil Pipeline,7,7426,97.2,oil pipeline,2,country_wd|keyword_title
Q143898,Uganda at the 1972 Summer Olympics,Uganda at the 1972 Summer Olympics,16,464,97.1,Olympic delegation,2,country_wd|keyword_title
Q96622031,Wiki Loves Folklore,Wiki Loves Folklore,13,776,97.1,"organization, recurring event, WikiProject",1,country_wd
Q38249546,Kyotera District,Kyotera District,10,1477,97.1,district of Uganda,1,country_wd
Q8031502,women in Uganda,Women in Uganda,9,1950,97.1,aspect in a geographic region,2,country_wd|keyword_title
Q7877621,Uganda Patriotic Movement,Uganda Patriotic Movement,7,5215,97.1,political party,2,country_wd|keyword_title
Q5290463,Dominic Barton,Dominic Barton,6,19104,97.1,human,1,birth_death_wd
Q1186214,2nd parallel north,2nd parallel north,19,298,97.0,circle of latitude,1,country_wd
Q1186295,4th parallel north,4th parallel north,18,332,97.0,circle of latitude,1,country_wd
Q3437607,Soo language,Soo language,13,676,97.0,"language, modern language",1,country_wd
Q588927,Maracha District,Maracha District,13,642,97.0,district of Uganda,1,country_wd
Q22138769,Zika Forest,Zika Forest,11,1025,97.0,forest,1,country_wd
Q2902777,Arua Airport,Arua Airport,11,998,97.0,"international airport, airport, commercial traffic aerodrome",1,country_wd
Q1929454,Sexual Minorities Uganda,Sexual Minorities Uganda,8,2766,97.0,"non-governmental organization, LGBTQ+ rights organization",2,country_wd|keyword_title
Q36323,Pökoot,Pökoot language,11,814,96.9,"language, modern language",1,country_wd
Q1388124,Sammy Kitwara,Sammy Kitwara,10,1081,96.9,human,1,citizenship_wd
Q5327671,East African montane moorlands,East African montane moorlands,10,1073,96.9,"ecoregion, WWF ecoregion",1,country_wd
Q2361829,Konjo,Konjo language (Bantu),9,1320,96.9,"language family, language, modern language",1,country_wd
Q3740241,Masaba,Masaba language,9,1396,96.9,"language, modern language",1,country_wd
Q56326,Karamojong,Karamojong language,9,1434,96.9,"language, modern language",1,country_wd
Q60769695,Kassanda District,Kassanda District,9,1313,96.9,district of Uganda,1,country_wd
Q4215039,Othman Karim,Othman Karim,8,2287,96.9,human,1,birth_death_wd
Q6359130,Kampala University,Kampala University,8,2319,96.9,university,2,country_wd|keyword_title
Q8059291,youth empowerment,Youth empowerment,7,4322,96.9,"empowerment, process",1,country_wd
Q106743286,1972 invasion of Uganda,1972 invasion of Uganda,6,13714,96.9,invasion,2,country_wd|keyword_title
Q5432160,Fall of Kampala,Fall of Kampala,6,11231,96.9,battle,2,country_wd|keyword_title
Q142193,Uganda at the 2000 Summer Olympics,Uganda at the 2000 Summer Olympics,15,366,96.8,Olympic delegation,2,country_wd|keyword_title
