starter_rank,section,qitem,label,en_title,sitelink_count,views,priority,type_labels
171,home: Acholi sub-region,Q4903036,Bibia,Bibia,3,0,60.1,human settlement
172,home: Acholi sub-region,Q5471796,Baker's Fort,Fort Patiko,3,0,60.1,fort
173,home: Acholi sub-region,Q6482752,Lamwo,Lamwo,3,0,60.1,human settlement
174,home: Acholi sub-region,Q6696771,Nwoya,Nwoya,3,0,60.1,human settlement
175,home: Acholi sub-region,Q7126074,Pakuba,Pakuba,3,0,60.1,human settlement
176,home: Acholi sub-region,Q7145186,Patongo,"Patongo, Uganda",3,0,60.1,human settlement
177,home: Acholi sub-region,Q16841255,Gulu University School of Medicine,Gulu University School of Medicine,2,0,50.0,medical school
178,home: Acholi sub-region,Q17155793,Alokolum,Alokolum,2,0,50.0,human settlement
179,home: Acholi sub-region,Q23926483,Kitgum Hospital,Kitgum Hospital,2,0,50.0,hospital
180,home: Acholi sub-region,Q32164191,Agago,,2,0,50.0,river
181,home: Acholi sub-region,Q34641076,Acoo,,2,0,50.0,river
182,home: Acholi sub-region,Q34646865,Amolo,,2,0,50.0,river
183,home: Acholi sub-region,Q34648265,Angwemadel,,2,0,50.0,river
184,home: Acholi sub-region,Q34668390,Awac,,2,0,50.0,river
185,home: Acholi sub-region,Q34668615,Ayakilete,,2,0,50.0,river
186,home: Acholi sub-region,Q34933751,Wong,,2,0,50.0,river
187,home: Acholi sub-region,Q34937354,Woro,,2,0,50.0,river
188,home: Acholi sub-region,Q35407900,Luronyo,,2,0,50.0,stream
189,home: Acholi sub-region,Q38249599,Palenga,"Palenga, Uganda",2,0,50.0,human-geographic territorial entity
190,home: Acholi sub-region,Q55613708,High Court of Uganda,High Court of Uganda,2,0,50.0,court
191,home: Acholi sub-region,Q5617907,Gulu Hospital,Gulu Hospital,2,0,50.0,hospital
192,home: Acholi sub-region,Q5617911,Gulu United FC,Gulu United FC,2,0,50.0,association football club
193,home: Acholi sub-region,Q62589623,Gung,,2,0,50.0,stream
194,home: Acholi sub-region,Q62589643,Laban,,2,0,50.0,stream
195,home: Acholi sub-region,Q62589649,Lagada,,2,0,50.0,stream
196,home: Acholi sub-region,Q62589711,Pajulu,,2,0,50.0,stream
197,home: Acholi sub-region,Q62615965,Larido,,2,0,50.0,stream
198,home: Acholi sub-region,Q63565296,,,2,0,50.0,river
199,home: Acholi sub-region,Q85774756,Koch-Goma,Koch-Goma,2,0,50.0,human settlement
200,home: Acholi sub-region,Q85802896,St. Joseph's College Layibi,St. Joseph's College Layibi,2,0,50.0,
201,home: Acholi sub-region,Q118971139,Gulu Central Forest Reserve,Gulu Central Forest Reserve,1,0,31.6,protected area
202,home: Acholi sub-region,Q119295750,East Madi Wildlife Reserve,East Madi Wildlife Reserve,1,0,31.6,protected area
203,home: Acholi sub-region,Q17509613,Acholi Inn,Acholi Inn,1,0,31.6,hotel
204,home: Acholi sub-region,Q20746294,Musingo,Musingo,1,0,31.6,"human settlement, border city"
205,home: Acholi sub-region,Q20746311,Palabek Kal,Palabek Kal,1,0,31.6,human settlement
206,home: Acholi sub-region,Q22812177,Sir Samuel Baker Secondary School,Sir Samuel Baker Secondary School,1,0,31.6,secondary school
207,home: Acholi sub-region,Q23926482,St. Joseph's Hospital Kitgum,St. Joseph's Hospital Kitgum,1,0,31.6,hospital
208,home: Acholi sub-region,Q25064575,Anaka General Hospital,Anaka General Hospital,1,0,31.6,hospital
209,home: Acholi sub-region,Q30287549,Gulu Women with Disabilities Union,Gulu Women with Disabilities Union,1,0,31.6,organization
210,home: Acholi sub-region,Q31985029,Patiko,,1,0,31.6,sub-county of Uganda
211,home: Acholi sub-region,Q42011436,Chua County,,1,0,31.6,county of Uganda
212,home: Acholi sub-region,Q49297977,Agago County,,1,0,31.6,county of Uganda
213,home: Acholi sub-region,Q49297988,Aruu County,,1,0,31.6,county of Uganda
214,home: Acholi sub-region,Q49297989,Aswa County,,1,0,31.6,county of Uganda
215,home: Acholi sub-region,Q49298135,Gulu Municipality,,1,0,31.6,municipality of Uganda
216,home: Acholi sub-region,Q49298174,Kilak County,,1,0,31.6,county of Uganda
217,home: Acholi sub-region,Q49298201,Lamwo County,,1,0,31.6,county of Uganda
218,home: Acholi sub-region,Q49298244,Nwoya County,,1,0,31.6,county of Uganda
219,home: Acholi sub-region,Q49298250,Omoro County,,1,0,31.6,county of Uganda
220,home: Acholi sub-region,Q56437663,Aruya,,1,0,31.6,stream
221,home: Acholi sub-region,Q6354247,Kalongo Hospital,Kalongo Hospital,1,0,31.6,hospital
222,home: Acholi sub-region,Q7121526,Pabbo,Pabbo,1,0,31.6,human settlement
223,home: Acholi sub-region,Q7135482,Paranga,"Paranga, Uganda",1,0,31.6,town
