qitem,label,statements,occupation_names,description
Q133893684,Zuri Tatiina,9,chess player,Chess player
Q133894501,Aidah Birungi,8,handball player,Ugandan handball player
Q134008795,Aimee Ahumuza Nyatia,8,chess player,Ugandan chess player
Q135338606,Angela Catherine Namirimu,8,basketball player,Ugandan basketball player (born 1990)
Q133857472,Angella Nanyonjo,8,rugby player,Rugby player
Q135304567,Anisha Nabatanzi,8,netballer,Ugandan netball player
Q133887632,Anitah Atim,8,field hockey player,Hockey player
Q136624202,Annet Among,8,basketball player,Ugandan basketball player (born 1996)
Q136622013,Annet Nakiwu,8,basketball player,Ugandan basketball player (born 1974)
Q135338567,Apio Faith Phoebe Omuut,8,basketball player,Ugandan basketball player (born 1997)
Q136089061,Apio Marion,8,boxer,Ugandan Boxer
Q140632704,Ava D Achan,8,swimmer,Ugandan Swimmer
Q135338514,Azidah Nabayunga,8,basketball player,Ugandan basketball player (born 2000)
Q136623844,Babra Gimbo,8,basketball player,Ugandan basketball player (born 1994)
Q141042834,Baskaline Cherotwo,8,athletics competitor,Ugandan track and field athlete
Q135338613,Benah Moru,8,basketball player,Ugandan basketball player (born 1991)
Q136624687,Brenda Kayaga,8,basketball player,Ugandan basketball player (born 1996)
Q136624689,Brenda Nakitende,8,basketball player,Ugandan basketball player (born 1994)
Q135338607,Chantal Noarh Aching,8,basketball player,Ugandan basketball player (born 1992)
Q135338612,Charlene Mary Karungi,8,basketball player,Ugandan basketball player (born 1990)
Q136623097,Chemutai Joy Sokuton,8,basketball player,Ugandan basketball player (born 1993)
Q133836286,Christine Anayo,8,cricketer,cricketer
Q134979212,Christine Nabanja,8,boxer,Ugandan boxer
Q135985021,Christine Nakaayi,8,netballer,Ugandan netball player
Q133830151,Christine Namuumba,8,netballer,Ugandan netball player
Q140674123,Condoleeza Nakazibwe Thembo,8,,Ugandan swimmer
Q140632518,Darleen Kate Wanyenze,8,swimmer,Ugandan Swimmer
Q140986866,Divine Love Muwanguzi Muwonge,8,swimmer,Ugandan swimmer
Q135338614,Dorothy Wiltshire Kyamazima,8,basketball player,Ugandan basketball player (born 1991)
Q135338621,Edith Dorothy Nakiriyowa,8,basketball player,Ugandan basketball player (born 1964)
Q133880398,Emily Kansime,8,volleyball player,Volleyball player
Q133887649,Eva Akello,8,field hockey player,Hockey player
Q134627511,Evas Nayebare,8,volleyball player,Ugandan professional volleyball player
Q140643350,Getrude Scarlett Atuhaire,8,swimmer,Ugandan Swimmer
Q133842436,Gloria Mbaguta,8,golfer,Ugandan golfer
Q133836299,Gloria Obukor,8,cricketer,Cricketer
Q141156814,Grace Nakalembe,8,basketball player,Ugandan basketball player (born 2008)
Q133864048,Grace Ojil,8,kabaddi player,"She Gladiators team member,World Cup bronze medalist"
Q135338582,Hatima Kassime,8,basketball player,Ugandan basketball player (born 1988)
Q133836300,Irene Alumo,8,cricketer,cricketer
Q135338574,Irene Eileanne Nalunkuma,8,basketball player,Ugandan basketball player (born 1990)
Q133880509,Jalia Nassuna,8,volleyball player,Volleyball player
Q140674416,Jamilah Ziri Nakiganda,8,,Ugandan swimmer
Q133881213,Josephine Nammanda,8,volleyball player,Volleyball player
Q133863832,Jovita Lubango,8,kabaddi player,"Ugandan national female kabaddi team player, Uganda's Kho Kho women team"
Q136624664,Joy Chemutai,8,basketball player,Ugandan basketball player (born 1993)
Q134979258,Joyce Kugonza,8,boxer,Ugandan boxer
Q135338593,Katooko Frances Nabulobi,8,basketball player,Ugandan basketball player (born 1983)
Q135424656,Katushabe Angel,8,boxer,Ugandan Boxer
Q133848860,Keisha Kagoro,8,golfer,Ugandan golfer
Q140627300,Kerry bradshaw,8,,Ugandan swimmer
Q140627994,Kristen Skylar Kayongo,8,,Ugandan swimmer
Q133836319,Leona Babirye,8,cricketer,cricketer
Q133836140,Lorna Anyait,8,cricketer,Ugandan female cricketer
Q136089144,Luwedde Dorah,8,boxer,Ugandan Boxer
Q133842377,Maggie Flavia Namaganda,8,tennis player,Ugandan tennis player
Q134112980,Maggie Roseform,8,rally driver,Motorsport rally driver
Q140715000,Manuella  Jayden Nabukeera  Musoke,8,,Ugandan swimmer
Q133836271,Maria Kagoya,8,cricketer,Cricketer
Q141156744,Maria Nanyonga,8,basketball player,Ugandan basketball player (born 2009)
Q134963364,Mariam Asacha,8,netballer,Ugandan netball player
Q133864102,Mellon Amvioko,8,kabaddi player,"She Gladiators team member, World Cup bronze medalist"
Q133836293,Mildred Anyigo,8,cricketer,cricketer
Q134113506,Moreen Blessing,8,volleyball player,Volleyball player
Q134627811,Mouricia Nabuma,8,volleyball player,Ugandan professional volleyball player
Q136089135,Mulungi Anitah,8,boxer,Ugandan Boxer
Q136089103,Nabakibi Tracy,8,boxer,Ugandan Boxer
Q136438428,Nabanja Amina,8,boxer,Ugandan female boxer
Q136089121,Nabatte Prossy,8,boxer,Ugandan Boxer
Q135424805,Nabikolo Fatuma,8,boxer,Ugandan Boxer
Q140553996,Nabukonde Aida Nauren.,8,,Ugandan swimmer
Q136089170,Nabukwasi Jennifer,8,boxer,Ugandan Boxer
Q136089074,Nadunga Prima,8,boxer,Ugandan Boxer
Q140480588,Nagudi Nusula,8,netballer,Ugandan professional netball player
Q135338618,Nahabo Miriam Hamala,8,basketball player,Ugandan basketball player (born 1982)
Q136089191,Nakassaga Desire,8,boxer,Ugandan Boxer
Q134979234,Nali Jalia,8,boxer,Ugandan boxer
Q133462704,Nalwanja shaffie,8,netballer,Ugandan netball player
Q136089161,Natasha Zawedde,8,boxer,Ugandan Boxer
Q133864042,Norah Veronica Nabasirye,8,kabaddi player,Ugandan national female Kho Kho team player
Q133864024,Olivia Tuhaise,8,kabaddi player,Ugandan national female Kho Kho team player
Q133836304,Patricia Malemikia,8,cricketer,cricketer
Q133836157,Patricia Timong,8,cricketer,Ugandan Female cricketer
Q133842420,Peace Kabasweka,8,golfer,Ugandan golfer
Q133836325,Phiona Kulume,8,cricketer,cricketer
Q134979288,Phionah Nanyanzi,8,boxer,Ugandan boxer
Q133857425,Phyllis Apio,8,rugby player,Rugby player
Q133864088,Priscila Nambazira,8,kabaddi player,"She Gladiators team member,World Cup bronze medalist"
Q135338550,Priscilla Ameu Apolot,8,basketball player,Ugandan basketball player (born 1997)
Q136624127,Proscovia Arach,8,basketball player,Ugandan basketball player (born 1994)
Q135177265,Rahimah Nayiga,8,netballer,Ugandan netball player
Q135338564,Rhoda Ruth Nagitta,8,basketball player,Ugandan basketball player (born 1996)
Q133836374,Rita Nyangendo,8,cricketer,cricketer
Q141156815,Rose Musundi,8,basketball player,Ugandan basketball player (born 2008)
Q133864096,Rose Nankumba,8,kabaddi player,"She Gladiators team member, World Cup bronze medalist"
Q140548098,Rubby Hadassah,8,swimmer,Ugandan swimmer
Q134270751,Sandra Arinaitwe,8,"marketer, swimmer",Ugandan swimmer
Q133836311,Sarah Akiteng,8,cricketer,cricketer
Q140638302,Sasha Vimbai Munyikwa,8,swimmer,Ugandan Swimmer
Q134979206,Sauda Muhammad,8,boxer,Ugandan boxer
Q141156708,Sharifah Agaba,8,basketball player,Ugandan basketball player (born 2008)
Q133839270,Sheila Angozibwa,8,handball player,Ugandan female handball player
Q133863984,Shirat Mirembe,8,kabaddi player,She Gladiators team member
Q134054867,Sonia Rwere,8,swimmer,Ugandan swimmer
Q135338565,Sumaiya Hasahya,8,basketball player,Ugandan basketball player (born 1996)
Q136621409,Sumine Nabatanzi,8,basketball player,Ugandan basketball player (born 1981)
Q133856883,Susan Kakai,8,cricketer,Cricket player
Q139834554,Susan Khainza,8,"ice hockey player, rugby player, administrator",Ugandan hockey player
Q140627789,Swagiah Mubiru,8,swimmer,Ugandan Swimmer
Q136622643,Sylvia Hilda Naigaga,8,basketball player,Ugandan basketball player (born 1987)
Q140627735,Tendo Atia,8,swimmer,Ugandan Swimmer
Q136627334,Thelma Delane Toskin,8,basketball player,Ugandan basketball player (born 2002)
Q140681387,Theresa Kikambi,8,,Ugandan swimmer
Q133836144,Walaza Sarah,8,cricketer,Ugandan female cricketer
Q133887921,Winnie Atim,8,field hockey player,Hockey player
Q135338611,Winnie Ayango Oketch,8,basketball player,Ugandan basketball player (born 1992)
Q133887932,Winnie Nandi,8,field hockey player,Hockey player
Q140643324,Ziya Abubakr Babirye,8,swimmer,Ugandan Swimmer
Q135338623,Zumrati Ali Mavita,8,basketball player,Ugandan basketball player (born 1979)
Q134054821,Abagail Mwagale,7,swimmer,Ugandan swimmer
Q133839316,Abigail Nabasinga,7,tennis player,Ugandan Junior tennis player
Q139882762,Abur Mary,7,athlete,Ugandan Athlate
Q135424727,Adong Judith,7,boxer,Ugandan Boxer
Q133892220,Agnes Nakuya,7,rugby player,Ugandan rugby player
Q136089188,Aijuka Praise,7,boxer,Ugandan Boxer
Q140591415,Almah Angellah Busingye,7,,Ugandan swimmer
Q134276963,Alverah Mukamirinda,7,,Beach wood ball player
Q140589650,Ameria Busingye,7,swimmer,Ugandan swimmer
