qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q2896128,Benjamin Kiplagat,16,Benjamin Kiplagat,718,9846.0,1632,7.3,True
Q49318790,Lake Katwe,5,Ziwa Katwe,461,4748.0,1618,9.7,True
Q1362109,Mpigi District,21,Wilaya ya Mpigi,1334,5501.0,1613,24.3,True
Q105965184,Gorreth Namugga,5,Gorreth Namugga,2609,4662.0,1610,56.0,False
Q4673765,Achilleus Kewanuka,9,Achile Kiwanuka,2304,5819.0,1606,39.6,False
Q1318887,Isingiro District,19,Wilaya ya Isingiro,1538,5121.0,1604,30.0,True
Q3536053,Agago District,19,Wilaya ya Agago,1345,4795.0,1591,28.1,True
Q3539256,Kyegegwa District,17,Wilaya ya Kyegegwa,1380,5526.0,1573,25.0,True
Q891962,Mubende District,24,Wilaya ya Mubende,1348,5463.0,1566,24.7,True
Q3530559,Nakasongola,12,Nakasongola,1021,10168.0,1565,10.0,True
Q58041073,Anyakun Esther Davinia,6,Davinia Esther Anyakun,2884,7034.0,1555,41.0,False
Q3321637,Gomba District,21,Wilaya ya Gomba,1308,4510.0,1543,29.0,True
