qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q117085800,Gertrude Njuba,5,Q82955,Gertrude Njuba,457,politician,True
Q39183854,Lillian Tibatemwa-Ekirikubinza,9,Q16533,Lillian Tibatemwa-Ekirikubinza,453,judge,True
Q125750508,Namutaawe Joan,8,Q82955,Joan Namutaawe,453,politician,True
Q55080773,Carolyne Wanjiku Tharau,6,Q33999,Wanjiku the Teacher,445,actor,False
Q35498279,Mercyline Chelangat,8,Q11513337,Mercyline Chelangat,444,athletics competitor,True
Q450406,China Keitetsi,11,Q36180,China Keitetsi,438,writer,True
Q22007123,Josephine Nambooze,13,Q39631,Josephine Nambooze,436,physician,True
Q28478241,Ivy Claire Amoko,6,Q10873124,Ivy Claire Amoko,434,chess player,True
Q24572730,Ruth Achieng,6,Q82955,Ruth Achieng,433,politician,True
Q111333319,Aisha Kabanda,5,Q82955,Aisha Kabanda,429,politician,True
Q111732768,Acaye Kerunen,5,Q33999,Acaye Kerunen,424,actor,True
Q109105744,Barbara Allimadi,6,Q1476215,Barbara Allimadi,422,human rights defender,True
Q67501169,Lamwaka Catherine,6,Q82955,Catherine Lamwaka,410,politician,True
Q105945785,Stella Isodo Apolot,7,Q82955,Stella Isodo Apolot,409,politician,True
Q17748538,Amina Sewali,7,Q28389,Amina Sewali,409,screenwriter,False
Q7927031,Victoria Sekitoleko,6,Q82955,Victoria Sekitoleko,408,politician,True
Q125218089,Joy Cheptoyek,6,Q4439155,Joy Cheptoyek,407,long-distance runner,True
Q42764305,Agnes Konde,6,Q2961975,Agnes Konde,406,business executive,True
Q106421070,Hellen Auma Wandera,6,Q82955,Hellen Auma Wandera,404,politician,True
Q81306294,Ruth Sebatindira,6,Q40348,Ruth Sebatindira,403,lawyer,True
Q124670567,Melissa Akullu,6,Q3665646,Melissa Akullu,402,basketball player,True
Q21505670,Rose Akol,10,Q82955,Rose Akol,399,politician,True
Q19667552,Annet Nakawunde Mulindwa,8,Q806798,Annet Nakawunde Mulindwa,399,banker,True
Q28038580,Sarah Kisawuzi,7,Q33999,Sarah Kisawuzi,397,actor,True
Q20684950,Florence Nebanda,5,Q82955,Florence Nebanda,393,politician,True
Q30070354,Mariam Naigaga,5,Q82955,Mariam Naigaga,393,politician,True
Q26211942,Catherine Odora Hoppers,6,Q1650915,Catherine Odora Hoppers,392,researcher,True
Q107643387,Kirabo Namutebi,5,Q10843402,Kirabo Namutebi,392,swimmer,True
Q47269451,Irene Mulyagonja,5,Q16533,Irene Mulyagonja,392,judge,True
Q16187230,Hope Mwesigye,7,Q40348,Hope Mwesigye,391,lawyer,True
Q42872836,Florence Muranga,6,Q1622272,Florence Muranga,391,university teacher,True
Q42794695,Angela Atim Lakor,5,Q15253558,Angela Atim Lakor,390,activist,True
Q41768539,Agnes Atim Apea,14,Q2961975,Agnes Atim Apea,389,business executive,True
Q55584067,Sylvia Rwabogo,8,Q82955,Sylvia Rwabogo,389,politician,True
Q434560,Christine Magnusson,11,Q13141064,Christine Magnusson,387,badminton player,False
Q53583119,Lillian Mary Nabulime,6,Q974144,Lillian Mary Nabulime,387,educator,True
Q4937658,Mildred Barya,9,Q36180,Mildred Barya,386,writer,True
Q43143394,Zahara Nampewo,8,Q40348,Zahara Nampewo,384,lawyer,True
Q5111140,Christine Ondoa,8,Q82955,Christine Ondoa,382,politician,True
Q24288578,Josephine Wapakabulo,6,Q901,Josephine Wapakabulo,380,scientist,True
Q111914231,Anita Pendo,8,Q1930187,Anita Pendo,379,journalist,False
Q16194600,Dorothy Samali Hyuha,8,Q82955,Dorothy Hyuha,376,politician,True
Q17580316,Charity Basaza Mulenga,8,Q1326886,Charity Basaza Mulenga,375,electrical engineer,True
Q28973016,Betty Lalam,10,Q37226,Betty Lalam,373,teacher,True
Q4357107,Judith Ayaa,6,Q4009406,Judith Ayaa,370,sprinter,False
Q5111001,Christine Dranzoa,8,Q350979,Christine Dranzoa,367,zoologist,True
Q5567335,Glaydah Namukasa,6,Q185196,Glaydah Namukasa,366,midwife,True
Q28852625,Rose Mbowa,13,Q33999,Rose Mbowa,362,actor,True
Q111418786,Grace Kaudha,6,Q82955,Grace Kaudha,362,politician,True
Q86084609,Victoria Nyanjura,6,Q1476215,Victoria Nyanjura,361,human rights defender,True
Q16730835,Joyce Kakuramatsi Kikafunda,6,Q1622272,Joyce Kakuramatsi Kikafunda,353,university teacher,True
Q40800312,Ziria Tibalwa Waako,5,Q1326886,Ziria Tibalwa Waako,352,electrical engineer,True
Q24572633,Esther Mbulakubuza Mbayo,7,Q82955,Esther Mbulakubuza Mbayo,351,politician,True
Q59654484,Hope Ekudu,6,Q806798,Hope Ekudu,350,banker,True
Q76790372,Milka Irene,6,Q33999,Milka Irene,350,actor,True
Q61875364,Stella Nansikombi Makubuya,8,Q40348,Stella Nansikombi Makubuya,346,lawyer,True
Q64446013,Sarah Chelangat,6,Q11513337,Sarah Chelangat,346,athletics competitor,True
Q105965987,Abeja Susan Jolly,8,Q82955,Susan Jolly Abeja,343,politician,True
