qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q1173623,Bahati David,8,David Bahati,15041,15640.0,2695,96.2,False
Q960312,Express F.C.,12,Express FC,38564,37939.0,2692,101.6,False
Q42563115,Lydia Jazmine,5,Lydia Jazmine,3071,5889.0,2682,52.1,False
Q1059582,Charles Mumbere,7,Charles Mumbere,9373,9500.0,2667,98.7,False
Q2473859,Uganda Christian University,10,Uganda Christian University,16601,18356.0,2654,90.4,False
Q1028215,Gulu District,21,Gulu (disitulikit),4321,6212.0,2636,69.6,False
Q19668159,Flavia Tumusiime,10,Flavia Tumusiime,7310,10771.0,2636,67.9,False
Q28223289,Ministry of Health,5,Minisitule Evunaanyizibwa ku By'obulamu mu Uganda,6021,7545.0,2628,79.8,False
Q7877608,Uganda Management Institute,8,Uganda Management Institute,7139,6909.0,2624,103.3,False
Q16876017,Jennifer Nasubuga Makumbi,11,Jennifer Nansubuga Makumbi,22778,30149.0,2583,75.6,False
Q1495779,King's College Budo,5,"King's College, Budo",10143,15752.0,2578,64.4,False
Q5158982,Islamic University in Uganda,14,Islamic University in Uganda,6137,10581.0,2570,58.0,False
Q22007122,Bakireke Nambooze Betty,11,Betty Nambooze,5915,14232.0,2568,41.6,False
Q111530519,Priscilla Zawedde (Azawi),5,Azawi,13549,14425.0,2559,93.9,False
Q7661016,Sylvia Tamale,20,Sylvia Tamale,20453,28567.0,2558,71.6,False
Q976873,Rakai District,21,Rakai (disitulikit),674,8972.0,2556,7.5,True
Q3105642,Gilbert Bukenya,9,Gilbert Bukenya,15762,10423.0,2538,151.2,False
Q3316583,Miss Uganda,9,Miss Uganda,988,12022.0,2536,8.2,True
Q1362587,Yumbe District,20,Yumbe (disitulikit),489,9780.0,2534,5.0,True
Q3445761,Erinayo Wilson Oryema,5,Erinayo Wilson Oryema,8777,8298.0,2518,105.8,False
Q7270525,Sylvia of Buganda,6,Sylvia Nagginda,7218,12579.0,2493,57.4,False
Q1151066,Mukono District,24,Mukono (disitulikit),878,9953.0,2453,8.8,True
Q1509547,Lake George,25,Ennyanja George mu Uganda.,2724,7862.0,2444,34.6,False
Q21032193,Wanyoto Lydia Mutende,10,Lydia Wanyoto Mutende,6290,9088.0,2428,69.2,False
Q131290889,Calvin Kabuye,5,Calvin Kabuya,3017,6424.0,2417,47.0,False
Q4731734,Allen Kagina,8,Allen Kagina,6200,7682.0,2396,80.7,False
Q52615829,Nabakooba Judith Nalule,7,Judith Nabakooba,3125,7926.0,2367,39.4,False
Q1175948,David Obua,13,David Obua,14898,15649.0,2332,95.2,False
