qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q105962427,Mukhaye Miriam,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,3,17,Miriam Mukhaye,Miriam Mukhaye,yes
Q111439705,Nakabira Gertrude,Ugandan politician,Parliament,member of parliament,6,17,Gertrude Nakabira,Gertrude Nakabira,yes
Q62129115,Naome Kibaaju,Ugandan politician,Parliament,Member of Parliament of Uganda,3,17,Naome Kibaaju,Naome Kibaaju,yes
Q24572671,Ntabazi Harriet,Ugandan politician,Parliament,Member of Parliament of Uganda,6,17,Harriet Ntabazi,Harriet Ntabazi,yes
Q105956483,Okia Joanne Aniku,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,2,17,Joanne Aniku Okia,Joanne Aniku Okia,yes
Q105666074,Rosemary Nyakikongoro,Ugandan politician,Parliament,Member of Parliament of Uganda,8,17,Rosemary Nyakikongoro,Rosemary Nyakikongoro,yes
Q57824490,Rosette Kajungu Mutambi,"Ugandan politician, professional social worker and journalist",Parliament,Member of Parliament of Uganda,4,17,Rosette Kajungu Mutambi,Rosette Kajungu Mutambi,yes
Q7459446,Sezi Mbaguta,Ugandan politician,Parliament,Member of Parliament of Uganda,7,17,Sezi Mbaguta,Sezi Mbaguta,yes
Q62480234,Stella Namoe Nyomera,Ugandan politician and social scientist,Parliament,Member of Parliament of Uganda,4,17,Stella Namoe Nyomera,Stella Namoe Nyomera,yes
Q62067646,Veronica Isala Eragu Bichetero,Ugandan politician,Parliament,Member of Parliament of Uganda,4,17,Veronica Isala Eragu Bichetero,Veronica Isala Eragu Bichetero,yes
Q7927031,Victoria Sekitoleko,Ugandan politician,Parliament,Member of Parliament of Uganda,6,17,Victoria Sekitoleko,Victoria Sekitoleko,yes
Q105966758,Zawedde Victorious,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,5,17,Victorious Zawedde,Victorious Zawedde,yes
Q57828421,Ajilo Elogu Maria Goretti,Ugandan politician,Parliament,Member of Parliament of Uganda,4,16,Ajilo Elogu Maria Goretti,Ajilo Elogu Maria Goretti,yes
Q116603638,Angwech Colline,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,4,16,Angwech Colline,Angwech Colline,yes
Q105966392,Anne Mary Kobugabe Tumwine,Ugandan politician,Parliament,Member of Parliament of Uganda,4,16,Anne Mary Kobugabe Tumwine,Anne Mary Kobugabe Tumwine,yes
Q137988692,Arinaitwe Jeniva,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,5,16,Jeniva Arinaitwe,Jeniva Arinaitwe,yes
Q106452769,Birungi Carolyn Nanyondo,Ugandan politician,Parliament,Member of Parliament of Uganda,3,16,Nanyondo Birungi Carolyn,Nanyondo Birungi Carolyn,yes
Q62129102,Caroline Kamusiime,Ugandan Politician,Parliament,Member of Parliament of Uganda,3,16,Caroline Kamusiime,Caroline Kamusiime,yes
Q5045178,Caroline Okao Amali,Ugandan politician,Parliament,Member of Parliament of Uganda,7,16,Caroline Amali Okao,Caroline Amali Okao,yes
