qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q3197533,Kiswahili,Kiswahili,10,3414,97.6,"dialect, language, standard language",1,country_wd
Q3556899,Vice President of Uganda,Vice President of Uganda,10,3340,97.6,"vice president, position",3,country_wd|keyword_title|part_of_wd
Q708027,Daudi Cwa II of Buganda,Daudi Cwa II of Buganda,9,6629,97.6,human,3,birth_death_wd|citizenship_wd|keyword_title
Q1186520,33rd meridian east,33rd meridian east,15,1357,97.5,meridian,1,country_wd
Q941273,Bugala Island,Bugala Island,15,1279,97.5,island,1,country_wd
Q3315580,Minority Rights Group International,Minority Rights Group International,12,1929,97.5,"nonprofit organization, advocacy group",1,country_wd
Q7058261,Northern Congolian forest-savanna mosaic,Northern Congolian forest–savanna mosaic,12,1993,97.5,WWF ecoregion,1,country_wd
Q344941,Samson Kisekka,Samson Kisekka,10,3214,97.5,human,2,birth_death_wd|citizenship_wd
Q7022514,ngoma,Ngoma drums,10,3089,97.5,,2,country_wd|keyword_title
Q18637131,Anne Kansiime,Anne Kansiime,9,4848,97.5,human,2,birth_death_wd|citizenship_wd
Q29479762,Toby Sibbick,Toby Sibbick,9,4812,97.5,human,1,citizenship_wd
Q16204177,Dominic Ongwen,Dominic Ongwen,8,13123,97.5,human,2,birth_death_wd|citizenship_wd
Q6087828,Israel–Uganda relations,Israel–Uganda relations,8,14522,97.5,bilateral relation,2,country_wd|keyword_title
Q13125467,Aloisea Inyumba,Aloisea Inyumba,12,1665,97.4,human,2,birth_death_wd|citizenship_wd
Q2587755,East African Plateau,East African Plateau,12,1684,97.4,mountain range,1,country_wd
Q2202407,Catholic Church in Uganda,Catholic Church in Uganda,11,2006,97.4,Catholic Church of an area,2,country_wd|keyword_title
Q486859,Paul Kawanga Ssemogerere,Paul Ssemogerere (politician),11,2065,97.4,human,2,birth_death_wd|citizenship_wd
Q7877613,Uganda Museum,Uganda Museum,11,2038,97.4,museum,2,country_wd|keyword_title
Q2473859,Uganda Christian University,Uganda Christian University,10,2654,97.4,"university, church college",2,country_wd|keyword_title
Q6672465,Sipi Falls,Sipi Falls,10,2611,97.4,waterfall,1,country_wd
Q7877695,Ugandan passport,Ugandan passport,10,2806,97.4,,2,country_wd|keyword_title
Q6318370,Lumumba Justine Kasule,Justine Lumumba Kasule,9,4214,97.4,human,2,birth_death_wd|citizenship_wd
Q7877583,"Uganda Anti-Homosexuality Act, 2014","Anti-Homosexuality Act, 2014",9,4443,97.4,act of parliament,3,country_wd|keyword_title|part_of_wd
Q137561637,James Bogere,James Bogere,8,12738,97.4,human,2,birth_death_wd|citizenship_wd
Q6828319,Micheal Azira,Micheal Azira,17,918,97.3,human,2,birth_death_wd|citizenship_wd
