qitem,label,latitude,longitude,sitelink_count
Q124398687,Ethur (Tribe),2.7067,33.6595,1
Q124398792,So (Tepeth),2.5333,34.7667,1
Q124412288,Vonoma Tribe,0.7075,30.0636,1
Q124415561,Shana People,1.4815,34.2866,1
Q124416932,Bakenyi tribe,1.5,33.0,1
Q124618783,Kogere Foundation Museum,0.6546,30.2801,1
Q124634104,Ndere Centre,0.3639,32.6053,1
Q124978,Lake Kyoga,1.5,33.0,51
Q125211,Lake Edward,-0.333333333,29.6,75
Q125243364,Nyungu Yamawe Forest Park,0.438888888,32.651111111,1
Q125550408,,-0.293904,31.735017,1
Q125748295,Nsambya Roman Catholic Cemetery,0.299755697,32.588532859,1
Q125762923,Cemetery of Saint Mary's Cathedral Rubaga,0.302919898,32.551917752,1
Q125762991,Cemetery of Namirembe St. Paul's Cathedral,0.314440914,32.559573635,1
Q125770604,Jinja Road Cemetery,0.320031922,32.596585364,1
Q125855404,Cemetery of the Polish refugees in Koja,0.114444638,32.715810853,1
Q125867377,Entebbe European Cemetery,0.054546106,32.46069625,1
Q125888,Lake Albert,1.683333333,30.916666666,88
Q126003287,Kampala (Nakawa Road) Cemetery,0.322331023,32.618010296,1
Q126009451,Kakira–Kisumu Expressway,0.297777777,34.208888888,1
Q126284821,Kitgum–Kidepo Road,3.565833333,33.694444444,2
Q126326927,St. Noa Mawaggali Cathedral,0.39443,32.05246,2
Q126363916,Lake Bujuku,0.376666666,29.893611111,6
Q126477627,River Ayago,2.283888888,32.0225,3
Q126488655,Busitema Forest,0.5375,33.9925,1
Q126490630,Lake Nyabikere,0.497222222,30.328611111,4
Q126595004,Namyoya Forest Reserve,0.4,32.716666666,1
Q126639659,Zirimiti Forest Reserve,0.23649,32.76464,1
Q126680881,Lake Nyaguo,1.324722222,33.722777777,5
Q126721549,Lake Rwizongo,-0.271083333,30.089,3
Q126736976,Lake Kayumbu,-1.3379,29.7875,5
Q126737038,Lake Nyamusingire,0.288055555,30.025277777,4
Q126737096,River Bujuku,0.3582,29.9716,4
Q126810661,Kibale Forest National Park,0.4364,30.3667,2
Q126810954,Lake Saka,0.7,30.233333333,4
Q126894711,Lake Kyema,1.732972222,31.743194444,4
Q126908167,Lake Nshenyi,-0.15,30.1667,3
Q126910355,Lake Kibwera,-0.254333333,29.989111111,4
Q126915619,Lake Kamunzuku,0.26422,30.1541,3
Q1272398,Koki Lakes,-0.66666667,31.08333333,2
Q127244252,BRIMS Heritage Resource Centre,0.398321,32.66532,2
Q1273335,Mount Elgon National Park,1.133333333,34.583333333,20
Q127433169,Lake Bunyampaka,-0.04006,30.13052,1
Q127433315,Lake Kamweru,-0.25922,30.1246,1
Q127502220,Lake Saaka,0.692222222,30.242777777,1
Q127502580,Nyakasura Falls,0.677,30.225,1
Q1277379,30th meridian east,0.0,30.0,22
Q1280038,Busia,0.466944444,34.09,17
Q1281344,Teso people,1.715,33.611111111,20
Q129262092,Kidepo International Airport,3.738333333,33.7425,1
Q129945408,Bethani High School Naalya,0.37,32.64,1
Q130125993,Vienna College Namugongo,0.3851,32.6475,2
Q130223714,Phaneroo Ministries International,0.347478725,32.620961297,1
Q130271194,Nsambya Hospital Cancer Center,0.301666666,32.585,1
Q130279605,Uganda Ministry of Defence Headquarters,0.328055555,32.630833333,1
Q130336242,Kabwoya–Buhuka Road,1.246666666,30.946388888,2
Q130386106,Kinaawa High School Kawempe,0.39097,32.55745,4
Q130388058,Nakayima tree,0.575625374,31.379223813,2
Q130442005,Battle of Kembogo,0.74,32.15,1
Q130724495,Rapha Primary School,0.842,32.4907,1
Q131191681,Masaka Sports Stadium,-0.344722222,31.735555555,1
Q131302949,"White House, Uganda",0.166666666,32.514444444,1
Q131360379,Fort Portal City Public Library,0.655105,30.2745467,1
Q131384615,Makerere University School of Dentistry,0.335833333,32.571111111,1
Q1315903,35th meridian east,0.0,35.0,19
Q131626111,Budongo Conservation Field Station,1.724166666,31.545833333,1
Q1318806,Kamwenge District,0.166666666,30.416666666,17
Q1318815,Kyenjojo District,0.5,30.833333333,19
Q1318822,Amolatar District,1.633333333,32.833333333,19
Q1318833,Oyam District,2.383333333,32.5,20
Q1318843,Kotido District,3.016666666,34.0,18
Q1318857,Koboko District,3.41666667,30.96666667,18
Q1318865,Kiruhura District,-0.216666666,30.833333333,19
Q1318872,Dokolo District,1.95,33.116666666,17
Q1318877,Ibanda District,-0.1,30.466666666,19
Q1318887,Isingiro District,-0.833333333,30.833333333,19
Q132528637,Babwisi,0.7075,30.0636,1
Q132830804,Lower Bigo Bog,0.385,29.925,1
Q132831055,Kabamba Bog,0.345,29.925,1
Q132831203,Bujuku Hut,0.385,29.888,1
Q133816351,Mt. Liru,3.348888888,31.024444444,1
Q133821333,Katigondo National Major Seminary,-0.227222222,31.735277777,1
Q133850303,Bukalasa National Minor Seminary,-0.232222222,31.735277777,1
Q133850475,Ggaba National Major Seminary,0.261944444,32.629166666,1
Q133860709,Saint Mbaaga's Major Seminary Ggaba,0.263611111,32.629722222,1
Q133860853,Uganda Martyr's National Major Seminary Alokolum,2.757222222,32.227222222,1
Q133878763,Kinyamaskia National Major Seminary,0.633055555,30.2775,1
Q134068127,Kibiro hot springs,1.673888888,31.255833333,1
Q134307866,East African Revival Museum,-0.6126162,30.6314126,2
Q134307996,Madi Lugbara Community Museum,3.017759,30.91081,1
Q134308011,Semei Kakungulu Museum,1.097036944,34.19495,2
Q134308055,Uganda Rural Development And Training Program Cultural Assets Centre,0.943331,30.81649,1
Q134311863,Kabalega Petrochemical Industrial Park,1.479166666,31.114166666,1
Q134980437,Rusumo Dam,-2.383809,30.78223,1
Q134980453,Katuna border crossing,-1.424707,30.011663,1
Q135404154,Mbale Secondary School,1.08,34.17,2
Q136004862,Igongo Cultural Centre Museum,-0.521387,30.740659,2
Q1362085,Budaka District,1.033333333,33.95,21
Q1362109,Mpigi District,0.083333333,32.0,21
Q1362129,Bundibugyo District,0.833333333,30.25,19
Q136230406,Kabale Irish potato market,-1.259955555,29.991030555,1
Q136230579,Kabale Central Market,-1.260033333,29.991341666,1
Q136230653,Kings Hotel Kabale Limited,-1.257627777,29.996777777,1
Q1362587,Yumbe District,3.5,31.25,20
Q1364817,Luwero District,0.8,32.6,22
Q1364824,Mayuge District,-0.25,33.583333333,20
Q1365449,Bududa District,1.05,34.4,21
Q136689610,"Committee on Commissions, Statutory Authorities and State Enterprises",0.315,32.582,1
Q136695991,Mato Mews Hotel,0.341419444,30.794077777,1
Q136938494,Zziba,0.087,32.361,1
Q136945075,Butare town,-0.472725,30.106313888,1
Q137360157,Tororo Steel Mill,0.558888888,34.095833333,1
Q1375755,Butaleja District,0.883333333,33.95,20
Q1375762,Amuria District,2.083333333,33.666666666,22
Q1375771,Amuru District,2.666666666,31.833333333,21
Q1375780,Abim District,2.701666666,33.676111111,22
Q1375789,Manafwa District,0.9,34.333333333,19
Q1375812,Bukedea District,1.366666666,34.133333333,20
Q1375819,Namutumba District,0.833333333,33.666666666,19
Q1375825,Nebbi District,2.416666666,31.166666666,20
Q1375835,Sironko District,1.25,34.316666666,19
Q1375843,Pallisa District,1.166666666,33.833333333,20
Q1375850,Moroto District,2.5,34.25,20
Q1375853,Nakapiripirit District,1.916666666,34.666666666,20
Q1375859,Kaliro District,1.016666666,33.5,24
Q1375868,Bukwo District,1.266666666,34.733333333,20
Q1375878,Lyantonde District,-0.166666666,31.166666666,21
Q137595493,Kibingo Girls Secondary School,-0.592952777,30.358163888,1
Q137646182,St. Charles Lwanga High School Kashekuro,-0.618863888,30.194988888,1
Q137651807,Sanga Island,0.075833333,32.655555555,1
Q137707711,Bugala Island,-0.663,32.336,1
Q138087444,Lakotokoto,2.781666666,32.299166666,2
Q138529536,Kampala Baháʼí Temple,0.36438,32.5885,1
Q1390765,1st parallel south,-1.0,0.0,20
Q139236054,Ngogo chimpanzee war,0.433333333,30.383333333,13
Q139254747,Mount Sabinyo Trail,-1.354,29.6192,1
Q139586218,Neocare Specialised Hospital and Fertility Center Mbarara,-0.610905555,30.658144444,1
Q140167986,Kampala School for Physically Handicapped,0.3163,32.5572,1
Q140196982,Uganda School for the Deaf,0.3527,32.6161,1
Q140206754,Mulago School for the Deaf,0.3462,32.5742,1
Q14201706,Ajai Wildlife Reserve,2.86666667,31.28333333,5
Q1422911,Mount Moroto,2.525,34.7725,17
Q1429741,Semuliki National Park,0.8334,30.0434,16
Q14629102,New Jinja Bridge,0.4375,33.1875,5
Q1485280,Paraa,2.3,31.55,3
Q14913592,Butogota,-0.8861,29.6367,1
Q14956750,Mulago Hospital,0.33777778,32.57555556,6
Q14956789,,0.30166667,32.585,3
Q14956797,Nagalama Hospital,0.525,32.7825,1
Q14956798,Mengo Hospital,0.31305556,32.55861111,4
Q14956813,Itojo Hospital,0.7175,32.39861111,1
Q1495779,King's College Budo,0.25824,32.487,5
Q15045704,Meru County,0.05,37.63333333,24
Q15045850,Lwakhakha,0.8,34.37944444,6
Q15045852,Malaba,0.64444444,34.26055556,7
Q15060213,Sukulu,0.6280556,34.1588889,2
